hcc,is_chronic,model_version,model_domain
HCC7,,V23,CMS-HCC
HCC139,Y,V23,CMS-HCC
HCC155,,V23,CMS-HCC
HCC31,Y,V22,CMS-HCC
HCC41,Y,V22,CMS-HCC
HCC57,Y,V22,CMS-HCC
HCC127,Y,V22,CMS-HCC
HCC13,,V23,CMS-HCC
HCC35,Y,V23,CMS-HCC
HCC46,Y,V22,CMS-HCC
HCC73,Y,V22,CMS-HCC
HCC192,,V22,CMS-HCC
HCC20,Y,V23,CMS-HCC
HCC29,Y,V23,CMS-HCC
HCC62,Y,V23,CMS-HCC
HCC188,Y,V23,CMS-HCC
HCC150,,V22,CMS-HCC
HCC86,Y,V23,CMS-HCC
HCC102,Y,V22,CMS-HCC
HCC119,Y,V22,CMS-HCC
HCC14,,V23,CMS-HCC
HCC150,,V23,CMS-HCC
HCC128,,V22,CMS-HCC
HCC53,Y,V23,CMS-HCC
HCC102,Y,V23,CMS-HCC
HCC137,Y,V23,CMS-HCC
HCC1,Y,V22,CMS-HCC
HCC36,,V22,CMS-HCC
HCC95,Y,V23,CMS-HCC
HCC133,Y,V22,CMS-HCC
HCC149,Y,V22,CMS-HCC
HCC21,,V22,CMS-HCC
HCC134,Y,V23,CMS-HCC
HCC203,Y,V23,CMS-HCC
HCC67,Y,V22,CMS-HCC
HCC99,Y,V22,CMS-HCC
HCC40,Y,V23,CMS-HCC
HCC173,,V23,CMS-HCC
HCC11,Y,V22,CMS-HCC
HCC91,Y,V22,CMS-HCC
HCC101,Y,V23,CMS-HCC
HCC99,Y,V23,CMS-HCC
HCC106,Y,V23,CMS-HCC
HCC29,Y,V22,CMS-HCC
HCC68,Y,V22,CMS-HCC
HCC106,Y,V22,CMS-HCC
